DFSR Position,Players,FanDuel Points,Salary,Pts/$,Opp,Minutes,Team,Position,Points,Rebound,Assists,Steals,Blocks,Turnovers,Date,FD ID,FantasyDATA ID,Offensive Rebounds,Defensive Rebounds,FGM,FGA,FTM,FTA,3PTM,3PTA,TEAM,DK Salary,DK Points,DraftKings ID,Last Update,First Name,Last Name,"","","",Yahoo
PG,Terry Rozier,36.98296653,7900,4.681388168,CLE,37,BOS,PG,17.3261857,7.266810395,4.577546447,1.469874725,0.3321344387,1.33573881,4/29/2018,"",20001413,1.133799881,5.758769617,4.983098607,15.30283295,2.068456026,1.596575342,2.401769804,5.547222978,BOS,12700,37.41305219,786293,5/27/2018 11:34:02,Terry,Rozier,"","","",""
SG,Jaylen Brown,34.75068114,6700,5.186668826,CLE,38,BOS,SG,20.63478885,6.604498948,2.165616822,1.206927503,0.4420360915,2.004822465,4/29/2018,"",20001672,1.323383085,5.175755411,6.420147712,16.35169873,4.115479302,2.658014925,1.981413354,4.362408061,BOS,12300,35.4250604,883436,5/27/2018 11:34:02,Jaylen,Brown,"","","",""
PF,Guerschon Yabusele,0.6987301439,2000,0.3493650719,CLE,1,BOS,PF,0.2729056979,0.2275489905,0.07179301808,0.009408114686,0.01862886597,0.03903481168,4/29/2018,"",20001717,0.03212121212,0.1387052495,0.09302159391,0.2209236602,0.01406140373,0.006696969697,0.04356514815,0.09626653323,BOS,1000,0.7233705927,920087,5/27/2018 11:34:02,Guerschon,Yabusele,"","","",""
SG,Abdel Nader,0.6497398345,2000,0.3248699172,CLE,1,BOS,SG,0.3020645389,0.1448307402,0.04986250768,0.02858905003,0.01825446597,0.04144590217,4/29/2018,"",20001721,0.03212121212,0.140047762,0.1093914354,0.2931144785,0.01653591465,0.0078,0.04894530387,0.1132074157,BOS,1000,0.6553334585,610597,5/27/2018 11:34:02,Abdel,Nader,"","","",""
SF,Jayson Tatum,35.87513774,7000,5.125019677,CLE,38,BOS,SF,20.09411776,7.000776827,2.284844958,1.212751068,0.8981187825,2.379789209,4/29/2018,"",20001829,0.7568285281,4.879067572,6.21500274,15.09382389,3.863380082,3.054127466,1.787876341,5.274353677,BOS,10900,36.1981395,937647,5/27/2018 11:34:02,Jayson,Tatum,"","","",""
PG,Kadeem Allen,0.3385407588,2000,0.1692703794,CLE,1,BOS,PG,0.04500536066,0.09429962497,0.07474340123,0.0252564003,0.01268213949,0.04555487304,4/29/2018,"",20001866,0.01612903226,0.09830664034,0.04915332017,0.09001072132,0.07372998025,0.06451612903,0.01638444006,0.1310755205,BOS,1000,0.3362868568,844150,5/27/2018 11:34:02,Kadeem,Allen,"","","",""
SF,Semi Ojeleye,2.054971539,2200,0.9340779723,CLE,5,BOS,SF,0.8430107497,0.7418991868,0.1028273695,0.09708929131,0.009075976701,0.151055093,4/29/2018,"",20001867,0.2112676056,0.673849852,0.4492332347,0.838051863,0.8235942635,0.5633802817,0.1616527241,0.4492332347,BOS,1200,2.142255139,792415,5/27/2018 11:34:02,Semi,Ojeleye,"","","",""
SG,Jabari Bird,0.6909999238,2000,0.3454999619,CLE,1,BOS,SG,0.3306283819,0.1218981915,0.06603374052,0.03234972678,0.01566957633,0.029014808,4/29/2018,"",20001879,0.03212121212,0.1332332189,0.1051197874,0.2314398673,0.01589020041,0.007878787879,0.03057310628,0.1087867567,BOS,1000,0.6788694874,750682,5/27/2018 11:34:02,Jabari,Bird,"","","",""
PF,Draymond Green,44.16511984,8700,5.076450556,HOU,42,GS,PF,12.97380382,9.197481049,8.927962456,1.623385473,1.647605004,3.050576358,4/29/2018,"",20000482,2.083846154,7.967990009,4.493141825,10.37904306,3.313878688,2.453263403,1.390763304,4.522996588,GS,8400,43.57467325,468895,5/27/2018 11:34:02,Draymond,Green,"","","",""
PG,Stephen Curry,48.85598598,9700,5.036699586,HOU,38,GS,PG,28.59164282,5.558219623,7.102808895,1.873873657,0.1857505518,3.238606355,4/29/2018,"",20000485,0.842065053,3.881050571,9.146227145,18.35303076,4.769665732,4.350166415,4.492339593,10.37795401,GS,9100,50.93974573,338365,5/27/2018 11:34:02,Stephen,Curry,"","","",""
SG,Klay Thompson,32.20046797,6500,4.953918148,HOU,39,GS,SG,20.83109992,4.565552466,2.285899959,0.8715071869,0.5417296461,1.777855356,4/29/2018,"",20000486,0.7023772321,3.490378402,8.870717139,16.73609738,2.970346194,2.604933036,3.493572785,8.816955217,GS,6400,33.65122283,457611,5/27/2018 11:34:02,Klay,Thompson,"","","",""
PG,Shaun Livingston,12.22564047,3300,3.704739536,HOU,16,GS,PG,5.526489872,1.847186617,1.895404715,0.4990097473,0.290971139,0.7305230755,4/29/2018,"",20000488,0.3644646925,1.432708232,1.98652822,4.774192821,0.7223738983,0.5466970387,0.006019782486,0.04815825989,GS,2800,11.89629034,253980,5/27/2018 11:34:02,Shaun,Livingston,"","","",""
C,Zaza Pachulia,0.9783761294,2500,0.3913504518,HOU,1,GS,C,0.3638292183,0.31497104,0.09823334359,0.03505125486,0.01693267518,0.06672014243,4/29/2018,"",20000499,0.1094594595,0.2024680435,0.1208649537,0.2571724337,0.09315069681,0.07621621622,0,0,GS,2500,0.9755008226,214168,5/27/2018 11:34:02,Zaza,Pachulia,"","","",""
SG,Nick Young,9.036443676,2800,3.227301313,HOU,14,GS,SG,5.833975467,1.271499291,0.3708071754,0.4158456973,0.07232263286,0.3440466933,4/29/2018,"",20000715,0.2212467076,1.017501825,2.483188978,4.902586401,0.7994657199,0.7006145742,1.376290014,3.730840026,GS,2700,9.472018664,263228,5/27/2018 11:34:02,Nick,Young,"","","",""
PF,David West,1.220772854,2500,0.4883091417,HOU,1,GS,PF,0.4788492802,0.2215656211,0.1357496834,0.04306797968,0.0732717783,0.07659897034,4/29/2018,"",20000740,0.05017502917,0.163974606,0.1496680968,0.3593797843,0.05942703842,0.04784130688,0.001456945072,0.00770350498,GS,2500,1.154539335,57934,5/27/2018 11:34:02,David,West,"","","",""
C,JaVale McGee,1.171727489,3000,0.3905758296,HOU,1,GS,C,0.4550753439,0.2674395862,0.04835133482,0.02852661064,0.09392654524,0.04416182825,4/29/2018,"",20000828,0.135883905,0.1878898243,0.2515093189,0.3250538171,0.1336522951,0.08062005277,0,0,GS,2500,1.084727226,333212,5/27/2018 11:34:02,JaVale,McGee,"","","",""
SF,Kevin Durant,53.88532068,10700,5.036011279,HOU,40,GS,SF,30.03090351,7.712692814,5.932826527,0.8303543937,2.039870946,2.910730009,4/29/2018,"",20000884,0.7119205298,9.171611777,11.04108665,20.43533105,7.17430956,6.589403974,2.695559071,6.343431838,GS,8900,54.20387453,329525,5/27/2018 11:34:02,Kevin,Durant,"","","",""
PF,Kevon Looney,21.65614574,4000,5.414036436,HOU,25,GS,PF,6.91337777,5.677043654,1.212123935,0.8557709682,1.452069896,0.811392905,4/29/2018,"",20001455,2.406741573,4.42426229,3.144696235,4.969857915,1.735004819,1.179775281,0.01388228468,0.5964079067,GS,3600,20.04479466,846499,5/27/2018 11:34:02,Kevon,Looney,"","","",""
