Position,Player,Points,Points/$,FanDuel Salary,Team,Opponent,FantasyData ID,DraftKings Salary,DK Proj. Points,Goals,Assists,Shots,(+/-),Block,PIM,PP G,PP A,Wins,Goals Against,Saves,Shutouts,Date,FanDuelID,DraftKingsID
G,Pekka Rinne - Confirmed,12.27887117,1.4,8800,NAS,WPG,30000221,7800,3.069717791,0,0.009107142857,0,0,0,0,0,0,0.4499059304,3.6,26.6,0,5/7/2018,8472,297473
C,Mike Fisher,6.34,2.11,3000,NAS,WPG,30000240,2900,1.769868421,0.08052631579,0.3019736842,1.065789474,"",0.7828947368,"",0,0,0,0,0,0,5/7/2018,"",""
W,Calle Jarnkrok,6.053652998,1.68,3600,NAS,WPG,30000241,2800,1.722405203,0.1759027778,0.1617361111,1.24619709,0.3246428571,0.39329806,0.1428571429,0.05147707231,0.05147707231,0,0,0,0,5/7/2018,23061,554498
W,Viktor Arvidsson,9.80962037,1.51,6500,NAS,WPG,30000245,5200,2.849199074,0.24225,0.2684583333,2.261805556,0.22725,0.6731481481,0.4074074074,0.1180555556,0.1180555556,0,0,0,0,5/7/2018,59207,831465
D,Mattias Ekholm,7.178909091,1.6,4500,NAS,WPG,30000250,3800,2.207,0.09736363636,0.2642727273,1.281818182,"",1.090909091,0.6909090909,0.2,0.2,0,0,0,0,5/7/2018,14456,595927
W,Scott Hartnell,7.165627706,2.39,3000,NAS,WPG,30000412,3000,2.061450216,0.1887662338,0.2185714286,1.478571429,0.01770779221,0.4642857143,1.404761905,0.08658008658,0.08658008658,0,0,0,0,5/7/2018,8562,171258
C,Kyle Turris,10.03321221,2.09,4800,NAS,WPG,30000452,3900,2.992975428,0.220443038,0.3897341772,2.054095309,0.07242218913,0.5340034748,0.2352941176,0.2581285679,0.2581285679,0,0,0,0,5/7/2018,9077,392944
C,Ryan Johansen,10.11853169,1.56,6500,NAS,WPG,30000692,4900,2.942241171,0.1882213353,0.5321999274,1.836804548,0.04816067973,0.3451862603,0.9056603774,0.2221819061,0.2221819061,0,0,0,0,5/7/2018,12592,550754
D,Yannick Weber,4.617058824,1.32,3500,NAS,WPG,30000933,2800,1.368455882,0.0565,0.12025,0.9031862745,0.037875,0.9470588235,0.4117647059,0.03333333333,0.03333333333,0,0,0,0,5/7/2018,9330,467252
W,Ryan Hartman,8.05338012,2.44,3300,NAS,WPG,30001012,2900,2.271209041,0.1903138112,0.2379256993,1.962194056,0.0581368007,0.4481768232,1.038461538,0.01923076923,0.01923076923,0,0,0,0,5/7/2018,43176,741470
